detector,chunk_id,static_acc,adaptive_acc,static_macro_f1,adaptive_macro_f1
ADWIN,0,0.9,0.9,0.8286465898829904,0.8286465898829904
ADWIN,1,0.896,0.896,0.901908129681819,0.901908129681819
ADWIN,2,0.904,0.904,0.8056095800123414,0.8056095800123414
ADWIN,3,0.884,0.884,0.910111617462519,0.910111617462519
ADWIN,4,0.886,0.886,0.890472793629728,0.890472793629728
ADWIN,5,0.882,0.882,0.8088458707724763,0.8088458707724763
ADWIN,6,0.908,0.908,0.9087180233969225,0.9087180233969225
ADWIN,7,0.8865030674846626,0.8865030674846626,0.9021745377909762,0.9021745377909762
ADWIN,8,0.106,0.106,0.07085561497326204,0.07085561497326204
ADWIN,9,0.108,0.108,0.06818181818181819,0.06818181818181819
ADWIN,10,0.09,0.09,0.06302521008403361,0.06302521008403361
ADWIN,11,0.098,0.098,0.06481481481481481,0.06481481481481481
ADWIN,12,0.086,0.806,0.06342182890855456,0.6255439114549713
ADWIN,13,0.08,0.804,0.056980056980056974,0.6200365115889366
ADWIN,14,0.086,0.828,0.05752508361204013,0.6462039737526566
ADWIN,15,0.082,0.786,0.06327160493827161,0.6737607883667119
ADWIN,16,0.084,0.824,0.06666666666666667,0.6771863527604034
ADWIN,17,0.074,0.824,0.06292517006802721,0.6771607571325791
ADWIN,18,0.06,0.794,0.056179775280898875,0.6500594534833285
ADWIN,19,0.088,0.802,0.06489675516224189,0.6538324423313662
ADWIN,20,0.08,0.834,0.057971014492753624,0.6808399848594338
ADWIN,21,0.114,0.842,0.0683453237410072,0.6856118389393536
ADWIN,22,0.09,0.788,0.0625,0.6649900693279579
ADWIN,23,0.084,0.824,0.06542056074766354,0.559647173710692
ADWIN,24,0.098,0.848,0.0692090395480226,0.7495362329814487
ADWIN,25,0.084,0.814,0.06422018348623854,0.6866403508816524
ADWIN,26,0.094,0.848,0.058786741713570984,0.6501319105472562
ADWIN,27,0.096,0.838,0.0605296343001261,0.5616839720495346
ADWIN,28,0.066,0.82,0.06395348837209303,0.7021746601015434
ADWIN,29,0.068,0.778,0.04934687953555878,0.6118278298011262
ADWIN,30,0.084,0.812,0.06542056074766354,0.7048209124361627
ADWIN,31,0.08,0.838,0.0706090026478376,0.6826147237171589
ADWIN,32,0.104,0.83,0.06451612903225806,0.5658920016558546
ADWIN,33,0.096,0.84,0.07655502392344497,0.7566665234590136
ADWIN,34,0.68,0.66,0.0923662048356425,0.09306260575296108
ADWIN,35,0.654,0.618,0.08993399339933994,0.08999563128003495
ADWIN,36,0.698,0.656,0.1053743961352657,0.10406091370558376
ADWIN,37,0.708,0.658,0.14114832535885166,0.13899450781580058
ADWIN,38,0.702,0.838,0.10483870967741936,0.3024573320994136
ADWIN,39,0.66,0.83,0.0905349794238683,0.23828126422342383
ADWIN,40,0.684,0.828,0.10351089588377724,0.2925901852092727
ADWIN,41,0.706,0.836,0.10606971153846154,0.25745085605580215
ADWIN,42,0.68,0.834,0.11861154718297576,0.30417759028147673
ADWIN,43,0.678,0.82,0.11869747899159665,0.29179282288187613
ADWIN,44,0.65,0.82,0.11650833482702994,0.3013601944584458
ADWIN,45,0.694,0.848,0.10540704738760631,0.27483530841659504
ADWIN,46,0.656,0.806,0.0911111111111111,0.34031917565368425
ADWIN,47,0.664,0.814,0.1166754524688104,0.29628656427223327
ADWIN,48,0.668,0.812,0.10195360195360195,0.2484369986424781
ADWIN,49,0.658,0.82,0.10129310344827586,0.268502454248694
ADWIN,50,0.688,0.83,0.09232420826623726,0.22625773245925662
ADWIN,51,0.712,0.846,0.12181351582549187,0.30799517757544403
ADWIN,52,0.66,0.82,0.11554621848739496,0.29705673263582105
ADWIN,53,0.68,0.832,0.10303030303030303,0.296437860504618
ADWIN,54,0.69,0.81,0.11890401516457005,0.27267054798504586
ADWIN,55,0.678,0.8,0.10247883917775091,0.232687918984453
ADWIN,56,0.678,0.834,0.1174025974025974,0.309702870291642
ADWIN,57,0.642,0.808,0.10056390977443609,0.25984737484737486
ADWIN,58,0.658,0.83,0.10141800246609124,0.32636715385940307
ADWIN,59,0.7028112449799196,0.8755020080321285,0.14090177133655393,0.4004586802343509
DDM,0,0.9,0.9,0.8286465898829904,0.8286465898829904
DDM,1,0.896,0.896,0.901908129681819,0.901908129681819
DDM,2,0.904,0.904,0.8056095800123414,0.8056095800123414
DDM,3,0.884,0.884,0.910111617462519,0.910111617462519
DDM,4,0.886,0.886,0.890472793629728,0.890472793629728
DDM,5,0.882,0.882,0.8088458707724763,0.8088458707724763
DDM,6,0.908,0.908,0.9087180233969225,0.9087180233969225
DDM,7,0.8865030674846626,0.8865030674846626,0.9021745377909762,0.9021745377909762
DDM,8,0.106,0.106,0.07085561497326204,0.07085561497326204
DDM,9,0.108,0.108,0.06818181818181819,0.06818181818181819
DDM,10,0.09,0.09,0.06302521008403361,0.06302521008403361
DDM,11,0.098,0.098,0.06481481481481481,0.06481481481481481
DDM,12,0.086,0.822,0.06342182890855456,0.6621867890815146
DDM,13,0.08,0.828,0.056980056980056974,0.606953418154196
DDM,14,0.086,0.804,0.05752508361204013,0.6064727817722159
DDM,15,0.082,0.816,0.06327160493827161,0.6700702173502825
